unemploymnt_2_denom_6_12_6_12, flfp_3_percent_6_11_6_11, lab_force_3_percent_6_12_6_12, area_code, area_name, lab_force_1_no_6_12_6_12, flfp_1_no_6_11_6_11, unemploymnt_3_percent_6_12_6_12, lab_force_2_denom_6_12_6_12, unemploymnt_1_no_6_12_6_12, flfp_2_denom_6_11_6_11
5075,48.65730475,60.56320708,26430,Strathbogie (S),4925,1975,4.748768473,8132,241,4059
13978,58.59946133,61.99693636,26490,Surf Coast (S),13356,6092,3.906138217,21543,546,10396
11647,51.20593692,73.53894156,26610,Swan Hill (RC),12256,4140,5.632351679,16666,656,8085
3383,53.8045738,67.30178242,26670,Towong (S),3285,1294,4.374815253,4881,148,2405
15526,55.56435992,67.91738072,26700,Wangaratta (RC),15060,6311,5.068916656,22174,787,11358
19205,56.59900364,68.87044063,26730,Warrnambool (C),18334,7612,6.034886748,26621,1159,13449
22836,51.72578241,70.89317904,26810,Wellington (S),24383,8677,3.638991067,34394,831,16775
2867,53.72434018,78.08139535,26890,West Wimmera (S),2686,916,2.964771538,3440,85,1705
89410,54.6880939,65.59991527,26980,Whitehorse (C),86708,35970,5.520635276,132177,4936,65773
75978,55.30592964,55.29230609,27070,Whittlesea (C),74330,34538,7.952301982,134431,6042,62449
20157,58.42664976,67.85317791,27170,Wodonga (RC),19558,8296,6.221163864,28824,1254,14199
72864,59.69730492,51.5011581,27260,Wyndham (C),70708,37235,8.73133509,137294,6362,62373
58644,66.90578955,83.10198817,27350,Yarra (C),59270,22477,5.456653707,71322,3200,33595
88474,60.52350518,72.56469686,27450,Yarra Ranges (S),87037,35701,4.113072767,119944,3639,58987
4229,44.18996295,66.84112781,27630,Yarriambiack (S),3959,1312,3.925277843,5923,166,2969
604,65.81818182,86.6084425,29399,Unincorporated Vic,595,181,4.304635762,687,26,275
