alchl_p_2_asr, lga_name, lga_code, hbld_pres_2_asr, ste_name, frt_intk_2_asr, ovrwgt_p_2_asr, lw_excse_2_asr, psych_dstrs_2_asr, smkrs_p_2_asr, obese_p_2_asr, wst_meas_p_2_asr
18.4,"Northern Grampians (S)",25810,21.3,"vic",45.6,35.2,71.0,15.5,22.6,33.5,66.3
19.6,"Port Phillip (C)",25900,31.9,"vic",47.8,36.6,52.9,10.4,12.4,17.4,55.4
19.7,"Pyrenees (S)",25990,20.9,"vic",44.3,36.0,73.0,14.7,22.0,35.6,66.3
18.4,"Queenscliffe (B)",26080,15.9,"vic",48.7,36.5,61.7,9.7,12.8,26.5,66.7
24.1,"South Gippsland (S)",26170,27.6,"vic",47.6,36.1,71.8,11.2,19.2,31.2,67.9
20.1,"Southern Grampians (S)",26260,24.0,"vic",47.6,35.9,71.7,10.6,18.0,29.3,67.8
18.6,"Stonnington (C)",26350,24.7,"vic",50.5,37.4,52.5,8.5,10.3,15.5,52.6
22.7,"Strathbogie (S)",26430,18.7,"vic",47.0,35.5,71.7,11.7,20.0,35.1,66.0
21.7,"Surf Coast (S)",26490,17.5,"vic",49.1,36.4,61.9,9.7,16.0,27.3,65.3
19.9,"Swan Hill (RC)",26610,20.3,"vic",43.9,34.9,73.7,10.9,22.5,33.0,70.4
27.6,"Towong (S)",26670,20.6,"vic",46.9,36.2,70.3,8.4,18.1,32.9,66.0
21.1,"Wangaratta (RC)",26700,24.5,"vic",46.6,35.0,69.2,13.6,17.4,32.6,66.1
16.7,"Warrnambool (C)",26730,21.4,"vic",46.7,35.5,67.3,12.9,17.6,32.5,65.7
19.5,"Wellington (S)",26810,22.5,"vic",46.0,35.1,71.1,13.2,19.9,34.8,67.6
18.9,"West Wimmera (S)",26890,24.3,"vic",46.0,36.6,76.9,9.3,18.9,33.0,69.7
13.4,"Whitehorse (C)",26980,23.0,"vic",51.0,37.7,63.0,9.8,10.8,19.5,56.4
10.0,"Whittlesea (C)",27070,24.1,"vic",48.1,38.5,70.2,15.0,16.1,30.8,64.2
16.7,"Wodonga (RC)",27170,25.1,"vic",46.5,35.2,66.9,14.3,19.0,34.8,68.6
11.0,"Wyndham (C)",27260,22.0,"vic",49.3,38.9,68.1,14.8,15.7,31.5,66.6
21.3,"Yarra (C)",27350,36.4,"vic",48.3,37.0,56.8,10.7,13.7,16.3,52.7
19.8,"Yarra Ranges (S)",27450,23.7,"vic",48.6,38.5,63.1,12.2,17.5,27.1,61.8
18.9,"Yarriambiack (S)",27630,24.3,"vic",46.0,36.6,76.9,9.4,18.9,33.0,69.7
null,"Unincorporated Vic",29399,null,"vic",null,null,null,null,null,null,null
