ats_difs_syn_3_lci_8_10_11_10, ats_dift_syn_4_uci_8_10_11_10, ats_int_syn_2_rate_8_10_11_10, ats_difs_syn_2_rate_8_10_11_10, area_code, ats_difs_syn_5_rrm_8_10_11_10, ats_int_syn_4_uci_8_10_11_10, ats_del_c_syn_5_rrm_8_10_11_10, ats_dift_syn_3_lci_8_10_11_10, ats_int_syn_3_lci_8_10_11_10, ats_del_p_syn_3_lci_8_10_11_10, ats_del_c_syn_4_uci_8_10_11_10, ats_del_p_syn_4_uci_8_10_11_10, ats_del_c_syn_1_no_8_10_11_10, area_name, ats_dift_syn_1_no_8_10_11_10, ats_del_c_syn_3_lci_8_10_11_10, ats_del_p_syn_1_no_8_10_11_10, ats_int_syn_1_no_8_10_11_10, ats_int_syn_5_sig_8_10_11_10, ats_dift_syn_2_rate_8_10_11_10, ats_del_c_syn_2_rate_8_10_11_10, ats_difs_syn_1_no_8_10_11_10, ats_difs_syn_4_uci_8_10_11_10, ats_del_p_syn_5_rrm_8_10_11_10, ats_dift_syn_5_rrm_8_10_11_10, ats_del_p_syn_2_rate_8_10_11_10
23.334121217468,7.93365724136359,74.8804652801854,36.4766149407124,20110,3.0,83.0366627724283,3.0,1.07112061284256,66.7242677879426,4.76942886588604,24.0628592525414,17.8126036406816,1570.59390193362,"Alpine (S)",447.939591984476,9.64681143034309,1036.50285076649,6984.13209865901,3.0,4.50238892710307,16.8548353414422,3593.37818940191,49.6191086639568,1.0,1.0,11.2910162532838
17.1218037457945,9.65193589206346,72.0276661606042,35.0277728410712,20260,1.0,82.991256526508,1.0,0.411787640791845,61.0640757947005,5.48678806546859,26.151252604823,23.0243515868774,1446.1304580166,"Ararat (RC)",472.074268276743,6.73049112699468,1237.31863082778,6363.12218965005,3.0,5.03186176642765,16.4408718659088,3215.02979048954,52.9337419363479,1.0,1.0,14.255569826173
24.3416246656911,7.52178634060923,74.2347455478523,34.4356452563093,20570,3.0,80.1958837077568,3.0,2.36320393335299,68.2736073879478,8.77584637222781,21.7908704939272,18.1509678064011,12045.8098546825,"Ballarat (C)",3720.60169721588,11.2714300766935,9806.60803431441,54060.7083219673,3.0,4.94249513698111,16.5311502853104,24972.3206142767,44.5296658469274,3.0,1.0,13.4634070893145
13.3930397964647,7.30836107659817,77.8098174487441,25.6700603774109,20660,3.0,85.1758638154124,3.0,0.9049782779816,70.4437710820757,4.63476669580631,21.318951760379,16.3353418033673,14253.6720659814,"Banyule (C)",4077.79490634143,8.20436268833396,10109.7930744382,75109.0491247754,3.0,4.10666967728989,14.7616572243565,24951.045142206,37.947080958357,1.0,1.0,10.4850542495868
20.6505327664071,8.66888315609116,72.9416329375418,34.2926914740928,20740,3.0,81.4001834217316,3.0,1.77364486478411,64.4830824533519,6.21372019873845,23.8447008592312,19.9101225593369,3665.16798546666,"Bass Coast (S)",1295.54942336889,8.80905833040403,2867.40645118762,16482.1305099777,3.0,5.22126401043764,16.3268795948176,8174.77544447483,47.9348501817784,1.0,1.0,13.0619213790377
20.2498488241542,8.10528267715121,74.6176638457842,34.1518636205646,20830,3.0,83.0154876435814,3.0,0.73016002572416,66.2198400479871,4.08330543464688,23.4222331325676,17.3891205268153,5035.41133709766,"Baw Baw (S)",1416.22280483023,8.5727628519326,3359.67022378624,23471.4067703705,3.0,4.41772135143768,15.9974979922501,10963.910242334,48.0538784169751,1.0,1.0,10.7362129807311
13.1692719421138,6.92124008414358,82.3518964982351,25.6873156983982,20910,3.0,90.023982239155,1.0,0.328955633407313,74.6798107573151,0.126813093373227,15.0829118264621,12.3029964682847,5922.93356841223,"Bayside (C)",2699.22219652714,1.39220780847508,4480.14234284902,58797.1744408468,3.0,3.62509785877545,8.23755981746859,18875.8978879105,38.2053594546827,1.0,1.0,6.21490478082895
20.8763559473802,8.27364487968708,74.3499932070159,34.367719430668,21010,3.0,82.6719220167999,3.0,1.46181918666788,66.0280643972318,5.86978668503395,24.4371361253332,18.9852777562523,1745.08289366928,"Benalla (RC)",542.547523050162,9.83573253543927,1255.625059824,7558.64380459646,3.0,4.86773203317748,17.1364343303862,3650.22744422957,47.8590829139559,1.0,1.0,12.4275322206431
17.0927761168652,5.68906085424104,82.2523554242101,25.9512395037463,21110,3.0,87.4784188894095,1.0,1.16941849849846,77.0262919590107,1.92838321638837,12.8306506757623,10.2847544435331,10784.7486842541,"Boroondara (C)",4701.43494173361,3.42007416181851,8139.6943086976,108808.315470391,3.0,3.42923967636975,8.12536241879042,34097.9964295329,34.8097028906274,1.0,1.0,6.10656882996074
13.7389781366102,8.89072938440219,71.1326592821465,25.6289128092312,21180,3.0,78.1452443113009,3.0,2.40328717473783,64.1200742529921,8.11806674237416,21.149345636563,19.0400145516776,22398.0750991333,"Brimbank (C)",8154.62442563118,8.878774396682,20277.5332605317,106221.247719517,3.0,5.64700827957001,15.0140600166225,37711.3577041595,37.5188474818521,3.0,1.0,13.5790406470259
