significance, numeric, boundedBy, ci_high, lga_name06, vic_ave, lga_code06, ci_low
"none",39.4,[140.96168198,-35.74858321,142.7435055,-33.98064759],44.8,"Mildura (RC)",34.3,24780,34.3
"none",37.1,[144.53042688,-37.51540081,145.42954573,-36.83529397],44.5,"Mitchell (S)",34.3,24850,30.3
"better",45.8,[144.82976477,-36.29915541,146.24654659,-35.80198254],53.0,"Moira (S)",34.3,24900,38.9
"none",33.0,[145.07416666,-37.94014781,145.22010934,-37.85334956],40.1,"Monash (C)",34.3,24970,26.5
"none",26.3,[144.84613549,-37.79579025,144.94328928,-37.70919734],33.9,"Moonee Valley (C)",34.3,25060,19.9
"none",37.9,[143.882692,-37.86424704,144.55618506,-37.40251779],44.6,"Moorabool (S)",34.3,25150,31.7
"worse",23.0,[144.88606442,-37.78020819,144.98866691,-37.69093971],29.2,"Moreland (C)",34.3,25250,17.8
"none",38.7,[144.65141181,-38.50298802,145.26173088,-38.16240442],46.6,"Mornington Peninsula (S)",34.3,25340,31.3
"better",47.4,[143.83063805,-37.27024148,144.5458576,-36.88190145],54.1,"Mount Alexander (S)",34.3,25430,40.8
"better",48.7,[145.16274445,-37.62446029,146.17846464,-36.93801607],55.2,"Murrindindi (S)",34.3,25620,42.2
"none",37.6,[145.06769024,-37.74174084,145.36767386,-37.487739],44.4,"Nillumbik (S)",34.3,25710,31.1
"better",53.8,[142.23416605,-37.29386589,143.51100243,-36.40533349],60.7,"Northern Grampians (S)",34.3,25810,46.7
"none",29.0,[144.91247978,-37.89173664,145.01052163,-37.82573361],35.8,"Port Phillip (C)",34.3,25900,23.0
"better",49.2,[143.06088998,-37.75745047,143.66855731,-36.89775273],58.1,"Pyrenees (S)",34.3,25990,40.3
"better",62.1,[144.60077133,-38.29225287,144.70213747,-38.23756774],71.1,"Queenscliffe (B)",34.3,26080,52.1
"better",54.5,[145.60562938,-39.13674006,146.52835027,-38.26120535],62.1,"South Gippsland (S)",34.3,26170,46.7
"better",49.4,[141.43150608,-37.97279812,142.61914387,-37.08697358],56.2,"Southern Grampians (S)",34.3,26260,42.5
"none",35.6,[144.98332163,-37.89297643,145.09220157,-37.82970166],43.6,"Stonnington (C)",34.3,26350,28.4
"better",46.1,[144.78477763,-37.02341509,145.87374186,-36.42356665],55.1,"Strathbogie (S)",34.3,26430,37.4
"better",43.7,[143.82453238,-38.57941756,144.40616605,-38.10055213],50.5,"Surf Coast (S)",34.3,26490,37.2
"better",43.8,[142.51704432,-35.65482444,143.81914054,-34.54638711],51.2,"Swan Hill (RC)",34.3,26610,36.7
"better",49.3,[147.03366666,-36.803203,148.2206847,-35.92854481],57.4,"Towong (S)",34.3,26670,41.2
