smokers_me_1_no_3_11_7_13, smokers_f_me_3_rrmse_3_11_7_13, obese_f_me_3_rrmse_3_11_7_13, smokers_m_me_1_no_3_11_7_13, obese_m_me_1_no_3_11_7_13, area_code, ovrwght_m_me_1_no_3_11_7_13, obese_f_me_2_rate_3_11_7_13, alcohol_cons_2_rate_3_11_7_13, ovrwght_p_me_3_rrmse_3_11_7_13, ovrwght_p_me_2_rate_3_11_7_13, smokers_m_me_3_rrmse_3_11_7_13, area_name, ovrwght_f_me_2_rate_3_11_7_13, alcohol_cons_1_no_3_11_7_13, smokers_m_me_2_rate_3_11_7_13, obese_p_me_3_rrmse_3_11_7_13, smokers_me_3_rrmse_3_11_7_13, ovrwght_f_me_1_no_3_11_7_13, ovrwght_p_me_1_no_3_11_7_13, ovrwght_f_me_3_rrmse_3_11_7_13, obese_m_me_3_rrmse_3_11_7_13, smokers_f_me_2_rate_3_11_7_13, obese_f_me_1_no_3_11_7_13, obese_m_me_2_rate_3_11_7_13, smokers_f_me_1_no_3_11_7_13, smokers_me_2_rate_3_11_7_13, ovrwght_m_me_3_rrmse_3_11_7_13, alcohol_cons_3_rrmse_3_11_7_13, obese_p_me_2_rate_3_11_7_13, obese_p_me_1_no_3_11_7_13, ovrwght_m_me_2_rate_3_11_7_13
1901.22514451997,3.0,3.0,1077.60210994251,1092.11571332628,20110,1789.03351720473,35.6396521354683,3.27152988496365,3.0,37.1399458773473,3.0,"Alpine (S)",28.3493041548102,295.675544341096,25.2299543287879,3.0,3.0,1100.71784980568,2889.75136701041,3.0,3.0,19.5484459024064,1382.27747602049,26.1470306714611,823.623034577459,22.3995438173689,3.0,3.0,30.7437267549723,2474.39318934677,45.3983617431871
1963.27332410978,3.0,3.0,1094.26969745483,998.973165158862,20260,1565.03145717337,32.6659888211509,3.46708814228287,3.0,34.9346141343043,3.0,"Ararat (RC)",27.1921742853933,296.15914421271,26.6635909293836,3.0,3.0,980.646417277228,2545.6778744506,3.0,3.0,21.725923653522,1178.19506940325,25.6306612229058,869.00362665495,24.2214697355774,3.0,1.0,29.0237003078816,2177.16823456211,42.0514781747703
15481.4690623416,3.0,3.0,8144.90316503507,7359.57805883578,20570,12447.8162276992,34.2494639374706,3.15137167384607,3.0,35.8927206295409,3.0,"Ballarat (C)",27.9595393511871,2255.83968137231,23.7204682462466,3.0,3.0,8152.94081711185,20600.7570448111,3.0,3.0,20.0230596233264,9988.31691163701,26.0443002406538,7336.56589730649,21.8191442266798,3.0,3.0,30.2168005103214,17347.8949704728,44.0045824204103
15053.7174115496,3.0,3.0,8343.8762063563,8999.08448868695,20660,16185.9884812135,25.5260932290508,2.89334513517364,3.0,34.4707760344615,3.0,"Banyule (C)",26.9345674381763,2775.92758185193,17.9966447097161,3.0,3.0,10606.6748129675,26792.663294181,3.0,3.0,13.6929981892452,10039.145709054,23.4487370147496,6709.84120519328,15.7887848355937,3.0,3.0,24.4860145074032,19038.2301977409,42.0520154256865
5036.42814500649,3.0,3.0,2746.3787778171,2764.46001384618,20740,4310.51848991005,32.3663783375241,3.25239469890829,3.0,35.7985855358664,3.0,"Bass Coast (S)",27.9266554796512,745.648036150057,25.7339112038833,3.0,3.0,2818.67927806215,7129.1977679722,3.0,3.0,21.1041824854947,3281.221609762,26.8737457488913,2290.04936718939,23.3969815070323,3.0,3.0,29.5899300820697,6045.68162360819,43.3127653739479
6691.50621925912,3.0,3.0,3658.28224174172,3623.29673742195,20830,5861.57032745308,30.536120792184,3.1190472383056,3.0,35.3919666644391,3.0,"Baw Baw (S)",27.1598352017732,1020.36409084402,23.5111364518947,3.0,3.0,3667.25109638325,9528.82142383633,3.0,3.0,18.7940834377746,4135.96817308989,26.1270806170186,3033.2239775174,21.109746631319,3.0,3.0,28.2755339054153,7759.26491051184,43.4337339033318
8599.3277306,3.0,3.0,4288.0568021,5611.9668417,20910,13258.5982713,16.5992294770077,2.5291270804981,3.0,36.7465309921412,3.0,"Bayside (C)",27.8962726943339,1818.0376733,12.8695467160393,3.0,3.0,8717.862417,21976.4606883,3.0,3.0,11.9199194332308,5153.7922054,18.9086535184444,4311.2709285,12.3793326955422,3.0,3.0,17.7106626845525,10765.7590471,46.0187296748319
2248.57768392154,3.0,3.0,1184.49095175382,1240.1797636837,21010,1887.04403006019,34.5187777105264,3.30042829579892,3.0,35.5837464371508,3.0,"Benalla (RC)",27.8069714444149,338.222528561522,25.1718719611812,3.0,3.0,1269.13291556629,3156.17694562648,3.0,3.0,21.362167632279,1563.46313101507,27.3588912089867,1064.08673216772,23.2169392682706,3.0,3.0,30.8979393911339,2803.64289469877,43.3035087292656
13987.5882786709,3.0,3.0,7163.92639251434,8378.02264302575,21110,23234.7832153143,11.0802073993808,2.48148661312598,3.0,36.124719183534,3.0,"Boroondara (C)",26.860427043829,3232.31818997624,11.444416519545,3.0,3.0,14162.9513458155,37397.7345611298,3.0,3.0,10.1953358290657,5813.57706224488,16.5390693771122,6823.66188615652,10.7994562441226,3.0,3.0,13.7529737633168,14191.5997052706,45.6398556940114
30945.8111575695,3.0,3.0,19723.368703597,15663.809891557,21180,26084.6030271134,32.5838574545144,2.98750889903635,3.0,35.2982502048626,3.0,"Brimbank (C)",27.6814673637218,4567.76253981524,25.5058299006412,3.0,3.0,15967.1807169886,42051.7837441021,3.0,3.0,14.4703078755273,18863.7583370009,25.8089877120471,11222.4424539725,19.9796475965491,3.0,3.0,29.1211807929099,34527.5682285579,42.4928718158974
1108.14785311983,3.0,3.0,607.415578063428,598.291514503267,21270,906.867797550286,30.5247205327688,3.50814819767127,3.0,35.5297639433281,3.0,"Buloke (S)",27.4257854157995,164.000472061894,27.5838240516419,3.0,3.0,567.105509878584,1473.97330742887,3.0,3.0,23.1669743627583,627.241347332525,27.1472211055118,500.732275056397,25.3854753456266,3.0,1.0,28.8038129976709,1225.53286183579,43.0460180381646
6335.61477810362,3.0,3.0,3496.58766501992,3321.0569324942,21370,4928.95733228566,38.2291876218193,3.34129553606348,3.0,35.2712367986286,3.0,"Campaspe (S)",27.4901436902115,904.812686393722,27.1746405634772,3.0,3.0,3143.70327357634,8072.660605862,3.0,3.0,21.7316266574687,4359.26170439547,27.8171103930496,2839.0271130837,24.4260896273265,3.0,3.0,32.9001166562388,7680.31863688968,42.7351558801089
12044.7503356232,3.0,3.0,6566.76991345441,6029.31042756748,21450,9884.51969125559,31.2415915222623,3.20936076701307,3.0,35.9883343496986,3.0,"Cardinia (S)",28.1196364728529,1825.07296271927,23.3933461617291,3.0,3.0,6129.22245674487,16013.7421480005,3.0,3.0,18.6248761272566,6849.27506094632,26.7119085123447,5477.98042216876,20.9404299491433,3.0,3.0,28.9428351794681,12878.5854885138,43.869327279111
39084.9358381,3.0,3.0,22358.2713456,20042.1632941,21610,33909.0171922,30.2463888958617,2.96092965019349,3.0,35.5763367163334,3.0,"Casey (C)",27.5731577758413,5851.3532889,22.4043468651534,3.0,3.0,20527.8888248,54436.906017,3.0,3.0,16.2084402979803,22544.0699431,25.9362433917187,16726.6644925,19.252530055802,3.0,3.0,28.0492652778323,42586.2332372,43.4654175164167
2446.34224469431,3.0,3.0,1340.81981094934,1213.66638983299,21670,1683.58323284002,36.1263448353013,3.56283673994913,3.0,34.9505927494892,3.0,"Central Goldfields (S)",28.7860101411243,332.784298533254,31.1769297399695,3.0,3.0,1192.54385657917,2876.12708941919,3.0,3.0,25.4111476582566,1498.22086363611,27.9966818765047,1105.52243374497,28.2529709497185,3.0,3.0,31.9567768606204,2711.88725346911,40.7189384556117
3540.34639561645,3.0,3.0,1992.92864247516,1821.8165744831,21750,2882.75201542612,30.2707118094051,3.34219393414333,3.0,36.0479830852682,3.0,"Colac-Otway (S)",27.9627702465904,516.883323956277,26.4234345953844,3.0,3.0,1803.0940078848,4685.84602331091,3.0,3.0,21.0478395896992,1944.55362037873,26.777012352067,1547.41775314129,23.7666274344937,3.0,3.0,28.4788339182461,3766.37019486183,43.4885574843917
2569.05312670105,3.0,3.0,1457.24553361107,1470.38937589423,21830,2355.24541695965,32.5831793654166,3.27872531973732,3.0,36.7794438296323,3.0,"Corangamite (S)",27.9379230921809,395.260816886273,25.0386953592521,3.0,3.0,1428.70244278521,3783.94785974487,3.0,3.0,19.4375827834925,1657.25243492621,27.0017655539822,1111.80759308999,22.2689076843855,3.0,3.0,29.734909516759,3127.64181082043,45.1020051078177
20244.1690863,3.0,3.0,12193.1556694,10830.0431291,21890,19523.1299002,26.0007139879159,3.00808341966229,3.0,34.3833271605112,3.0,"Darebin (C)",26.8294041752705,3443.0053388,21.0307565101287,3.0,3.0,12070.0518756,31593.1817758,3.0,3.0,13.4284577203505,11573.0826626,24.1562499489426,8051.0134169,17.1629660261328,3.0,3.0,25.0858425196151,22403.1257917,41.832626378712
7392.17216337865,3.0,3.0,4036.48410789823,3898.99211540625,22110,6059.35639047932,34.0691689353484,3.28181139351085,3.0,35.6875894763349,3.0,"East Gippsland (S)",27.7497688993145,1059.95807433171,27.5111944923957,3.0,3.0,3946.21619355623,10005.5725840356,3.0,3.0,21.8364039782763,4867.76452657619,26.5294100363429,3355.68805548042,24.6145583754198,3.0,3.0,30.2092572149329,8766.75664198244,43.3826012241708
22872.6912163,3.0,3.0,12558.3364682,10503.3107143,22170,17472.112788,31.7916613721298,3.24039048850051,3.0,35.3010130101356,3.0,"Frankston (C)",27.4460898535672,3286.3727428,25.3854248980533,3.0,3.0,11156.1550609,28628.2678489,3.0,3.0,19.7834654395902,12928.0390359,25.9567941924933,10314.3547481,22.5123731496499,3.0,3.0,28.879450221701,23431.3497502,43.1820176909287
